15:25:16 | INFO    | BRONZE   | [BRONZE][parc_auto] Génération horaire
15:25:16 | INFO    | BRONZE   | [BRONZE][infra] Backfill 1 jour(s)
15:25:16 | INFO    | BRONZE   | [BRONZE][parc_auto] ✅ 2 lignes → Bronze.staging_parc_auto
15:25:16 | INFO    | BRONZE   | ══ BRONZE FLOW — Parc Auto ✅ 2 lignes
15:25:16 | INFO    | BRONZE   | [BRONZE][infra] ✅ 75 lignes → Bronze.staging_infrastructure
15:25:16 | INFO    | BRONZE   | ══ BRONZE FLOW — Infrastructure ✅ 75 lignes
15:25:16 | DEBUG   | EXTERN   | = connection is CONNECTING
15:25:16 | DEBUG   | EXTERN   | > GET /api/events/in HTTP/1.1
15:25:16 | DEBUG   | EXTERN   | > Host: 127.0.0.1:4200
15:25:16 | DEBUG   | EXTERN   | > Upgrade: websocket
15:25:16 | DEBUG   | EXTERN   | > Connection: Upgrade
15:25:16 | DEBUG   | EXTERN   | > Sec-WebSocket-Key: H8zlKMS+O4q8nuFf3fB9wA==
15:25:16 | DEBUG   | EXTERN   | > Sec-WebSocket-Version: 13
15:25:16 | DEBUG   | EXTERN   | > Sec-WebSocket-Extensions: permessage-deflate; client_max_window_bits
15:25:16 | DEBUG   | EXTERN   | > Sec-WebSocket-Protocol: prefect
15:25:16 | DEBUG   | EXTERN   | > User-Agent: Python/3.11 websockets/16.0
15:25:16 | DEBUG   | EXTERN   | < HTTP/1.1 101 Switching Protocols
15:25:16 | DEBUG   | EXTERN   | < Upgrade: websocket
15:25:16 | DEBUG   | EXTERN   | < Connection: Upgrade
15:25:16 | DEBUG   | EXTERN   | < Sec-WebSocket-Accept: nzRcFo4NFRe0YsEDr4s615Zxa9E=
15:25:16 | DEBUG   | EXTERN   | < Sec-WebSocket-Extensions: permessage-deflate
15:25:16 | DEBUG   | EXTERN   | < Sec-WebSocket-Protocol: prefect
15:25:16 | DEBUG   | EXTERN   | < date: Fri, 15 May 2026 14:25:16 GMT
15:25:16 | DEBUG   | EXTERN   | < server: uvicorn
15:25:16 | DEBUG   | EXTERN   | = connection is OPEN
15:25:16 | DEBUG   | EXTERN   | = connection is CONNECTING
15:25:16 | DEBUG   | EXTERN   | > GET /api/events/in HTTP/1.1
15:25:16 | DEBUG   | EXTERN   | > Host: 127.0.0.1:4200
15:25:16 | DEBUG   | EXTERN   | > Upgrade: websocket
15:25:16 | DEBUG   | EXTERN   | > Connection: Upgrade
15:25:16 | DEBUG   | EXTERN   | > Sec-WebSocket-Key: KMLLMcm9YrP1r95jv4Jwqg==
15:25:16 | DEBUG   | EXTERN   | > Sec-WebSocket-Version: 13
15:25:16 | DEBUG   | EXTERN   | > Sec-WebSocket-Extensions: permessage-deflate; client_max_window_bits
15:25:16 | DEBUG   | EXTERN   | > Sec-WebSocket-Protocol: prefect
15:25:16 | DEBUG   | EXTERN   | > User-Agent: Python/3.11 websockets/16.0
15:25:16 | DEBUG   | EXTERN   | > PING 80 6e 0d 25 [binary, 4 bytes]
15:25:16 | DEBUG   | EXTERN   | < PONG 80 6e 0d 25 [binary, 4 bytes]
15:25:16 | DEBUG   | EXTERN   | < HTTP/1.1 101 Switching Protocols
15:25:16 | DEBUG   | EXTERN   | < Upgrade: websocket
,"token":null}' [28 bytes]
15:25:16 | DEBUG   | EXTERN   | < Connection: Upgrade
15:25:16 | DEBUG   | EXTERN   | < Sec-WebSocket-Accept: sQMeuh5Rb6TjTkvrwV5/ZvcX8fs=
15:25:16 | DEBUG   | EXTERN   | < Sec-WebSocket-Extensions: permessage-deflate
15:25:16 | DEBUG   | EXTERN   | < Sec-WebSocket-Protocol: prefect
15:25:16 | DEBUG   | EXTERN   | < date: Fri, 15 May 2026 14:25:16 GMT
15:25:16 | DEBUG   | EXTERN   | < server: uvicorn
15:25:16 | DEBUG   | EXTERN   | = connection is OPEN
15:25:16 | DEBUG   | EXTERN   | < TEXT '{"type":"auth_success"}' [23 bytes]
15:25:16 | DEBUG   | EXTERN   | > PING 'ےޔ' [text, 4 bytes]
15:25:16 | DEBUG   | EXTERN   | < PONG 'ےޔ' [text, 4 bytes]
15:25:16 | DEBUG   | EXTERN   | > TEXT '{"type":"auth","token":null}' [28 bytes]
